,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
60,60,total_rev_hi_lim:10K-20K,0.05073699922240158,1.8008507056716663e-05,total_rev_hi_lim,3.569863002339391,4.0,0.43013699766060887,4.0
61,61,total_rev_hi_lim:20K-30K,0.06756879451261905,4.853763172605313e-08,total_rev_hi_lim,4.754150685694693,5.0,0.24584931430530688,5.0
62,62,total_rev_hi_lim:30K-40K,0.10981358305623873,1.4221014574716447e-16,total_rev_hi_lim,7.726500449669965,8.0,0.27349955033003504,8.0
63,63,total_rev_hi_lim:40K-55K,0.15641277466898615,3.6429652350934e-29,total_rev_hi_lim,11.005226677606252,11.0,-0.0052266776062523945,11.0
64,64,total_rev_hi_lim:55K-95K,0.22346730265102577,4.381420510374223e-51,total_rev_hi_lim,15.723193491787189,16.0,0.27680650821281105,16.0
65,65,total_rev_hi_lim:>95K,0.31580202872641067,3.83172153296262e-57,total_rev_hi_lim,22.21987889887612,22.0,-0.21987889887612155,22.0
66,66,annual_inc:20K-30K,-0.09868926018774589,1.3705351130006958e-07,annual_inc,-6.943791396258373,-7.0,-0.05620860374162717,-7.0
67,67,annual_inc:30K-40K,-0.07504836947504047,2.8156728808982544e-05,annual_inc,-5.2804147206355525,-5.0,0.2804147206355525,-5.0
68,68,annual_inc:40K-50K,-0.04092281599188104,0.021956592082122427,annual_inc,-2.8793355736430155,-3.0,-0.12066442635698449,-3.0
69,69,annual_inc:50K-60K,-0.020990982208348094,0.24498587950246897,annual_inc,-1.4769287091630112,-1.0,0.4769287091630112,-1.0
70,70,annual_inc:60K-70K,0.008223460220138838,0.6557333095251461,annual_inc,0.578603915111356,1.0,0.421396084888644,1.0
71,71,annual_inc:70K-80K,0.03306051900541468,0.07799458855923531,annual_inc,2.3261431587278194,2.0,-0.3261431587278194,2.0
72,72,annual_inc:80K-90K,0.07207764460784179,0.00021118751800042348,annual_inc,5.0713940659638865,5.0,-0.07139406596388653,5.0
73,73,annual_inc:90K-100K,0.0787379831664938,8.314737951651481e-05,annual_inc,5.540016502607487,6.0,0.4599834973925132,6.0
74,74,annual_inc:100K-120K,0.13772167250330303,3.585024742228707e-12,annual_inc,9.69011787896139,10.0,0.30988212103861024,10.0
75,75,annual_inc:120K-140K,0.1621086987157472,9.100372586180827e-14,annual_inc,11.405992762126477,11.0,-0.40599276212647695,11.0
76,76,annual_inc:>140K,0.17456658355264668,1.7391843484183983e-17,annual_inc,12.282531438994392,12.0,-0.2825314389943916,12.0
77,77,dti:<=1.4,-0.025512584086202394,0.4296508217486731,dti,-1.795069306802722,-2.0,-0.20493069319727808,-2.0
78,78,dti:1.4-3.5,0.20220913195264362,3.7702278928870043e-19,dti,14.227465359720933,14.0,-0.22746535972093263,14.0
79,79,dti:3.5-7.7,0.21148265601889682,1.6475808052411445e-41,dti,14.879951927172572,15.0,0.12004807282742824,15.0
80,80,dti:7.7-10.5,0.17774539494581776,3.965507349878355e-31,dti,12.506193093365273,13.0,0.4938069066347275,12.0
81,81,dti:10.5-16.1,0.1162396488251543,5.478428982420812e-18,dti,8.178639417102683,8.0,-0.1786394171026835,8.0
82,82,dti:16.1-20.3,0.050460605355733386,0.00017771541163731958,dti,3.550415887732411,4.0,0.4495841122675892,4.0
83,83,dti:20.3-21.7,0.01984757776608733,0.20540543146761037,dti,1.3964785982440548,1.0,-0.39647859824405485,1.0
84,84,dti:21.7-22.4,-0.02976250399932145,0.1097255939257958,dti,-2.0940943199739883,-2.0,0.09409431997398832,-2.0
85,85,dti:22.4-35,-0.07496801818798424,3.0477551672821194e-09,dti,-5.274761191825244,-5.0,0.2747611918252444,-5.0
86,86,mths_since_last_delinq:Missing,0.1340546255103693,1.764893021403185e-08,mths_since_last_delinq,9.432103893338565,9.0,-0.43210389333856547,9.0
87,87,mths_since_last_delinq:4-30,0.1221254802493914,1.9126627011999208e-08,mths_since_last_delinq,8.592767413661722,9.0,0.40723258633827797,9.0
88,88,mths_since_last_delinq:31-56,0.14915037333989556,7.762036145608079e-10,mths_since_last_delinq,10.49424301262407,10.0,-0.4942430126240698,10.0
89,89,mths_since_last_delinq:>=57,0.14394227881128735,5.677722544676934e-09,mths_since_last_delinq,10.127800687391801,10.0,-0.12780068739180095,10.0
90,90,mths_since_last_record:Missing,0.09182864144154715,2.1473556207129537e-45,mths_since_last_record,6.461077215077603,6.0,-0.46107721507760324,6.0
91,91,mths_since_last_record:3-20,-0.0028801139249838687,0.9204926645890561,mths_since_last_record,-0.2026452549598721,-0.0,0.2026452549598721,-0.0
92,92,mths_since_last_record:21-31,0.03829147912098362,0.15773454045913504,mths_since_last_record,2.694194310145494,3.0,0.30580568985450585,3.0
93,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
94,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
95,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
96,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
97,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
98,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
99,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
100,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
101,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
102,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
103,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
104,11,delinq_2yrs:>=4,0.0,,delinq_2yrs,0.0,0.0,0.0,0.0
105,12,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
106,13,total_acc:<=27,0.0,,total_acc,0.0,0.0,0.0,0.0
107,14,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
108,15,total_rev_hi_lim:<=5K,0.0,,total_rev_hi_lim,0.0,0.0,0.0,0.0
109,16,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
110,17,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
111,18,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
112,19,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
